DRID,NAME,INFO,FLOOR,IMAGEURL,FLOORINFO
145,川陕精品小炒,食材新鲜，让你享受到新鲜出炉的美食,2,https://wizzcampus.helloyzy.cn/guide145.png,海棠二楼
146,川香冒菜,价格实惠，服务态度好，口感不错，有独特的味道,2,https://wizzcampus.helloyzy.cn/guide146.png,海棠二楼
147,川香小炒,超正宗川菜，样式多，味道鲜，在这里感受四川的味道,2,https://wizzcampus.helloyzy.cn/guide147.png,海棠二楼
148,过桥米线,味道鲜美，种类颇多，经济实惠，米线口感较好,2,https://wizzcampus.helloyzy.cn/guide148.png,海棠二楼
149,成都老面馆,干拌面，牛肉面等口味极佳的面食，价格实惠,2,https://wizzcampus.helloyzy.cn/guide149.png,海棠二楼
150,景娘煮馍,火腿,培根等多种方式搭配，总有一种适合你,2,https://wizzcampus.helloyzy.cn/guide150.png,海棠二楼
151,景娘酸菜鱼,火腿,培根等多种方式搭配，总有一种适合你,2,https://wizzcampus.helloyzy.cn/guide151.png,海棠二楼
152,桂林米粉白云居饺子,好吃不过饺子，那好评就不过白云居了,2,https://wizzcampus.helloyzy.cn/guide152.png,海棠二楼
153,湖南小碗菜,正宗湖南小碗菜，饭多，菜多，品种多，不容错过,2,https://wizzcampus.helloyzy.cn/guide153.png,海棠二楼
154,烤鸭饭,价格实惠的套餐与诱人心弦的咖喱，不容错过,2,https://wizzcampus.helloyzy.cn/guide154.png,海棠二楼
155,犀米家,速度快，味道美，性价比高的优质窗口,2,https://wizzcampus.helloyzy.cn/guide155.png,海棠二楼
156,瓦香鸡米饭,服务贴心，价格公道，食材新鲜，汤味佳,2,https://wizzcampus.helloyzy.cn/guide156.png,海棠二楼
157,福乐士西式铁板饭锡纸饭,样式多而不失好口感的锡纸饭值得你的选择,2,https://wizzcampus.helloyzy.cn/guide157.png,海棠二楼
158,自选餐,荤素甜点，样式齐全，价格实惠，味道鲜美,2,https://wizzcampus.helloyzy.cn/guide158.png,海棠二楼
159,芝士焗饭,鸡腿，鸡排等多种焗饭供你挑选，价格公道，味道鲜美,2,https://wizzcampus.helloyzy.cn/guide159.png,海棠二楼
160,铁板鸡肉饭,土豆片，鱿鱼等荤素搭配，免费自取饮料一杯，超值超实惠,2,https://wizzcampus.helloyzy.cn/guide160.png,海棠二楼
161,陕西焖肉饭,在这个地界，少侠你怎么能少得了一碗正宗的陕南焖肉饭,2,https://wizzcampus.helloyzy.cn/guide161.png,海棠二楼
162,鱻谷鱼粉,荤素搭配，更有不同辣度体验，价格实惠，食材新鲜,2,https://wizzcampus.helloyzy.cn/guide162.png,海棠二楼
163,江西瓦罐汤,不用去江西也能感受到美味的江西特色,2,https://wizzcampus.helloyzy.cn/guide163.png,海棠二楼
164,黄焖鸡米饭,让你在冬天里暖胃，夏天里解乏,2,https://wizzcampus.helloyzy.cn/guide164.png,海棠二楼
165,黑旦烤肉饭,培根饭，鸡腿套餐，还能外加三个小菜,2,https://wizzcampus.helloyzy.cn/guide165.png,海棠二楼
166,鼎兰香牛肉拉面,劲道拉面，味香盖饭，品式齐全，价格实惠,2,https://wizzcampus.helloyzy.cn/guide166.png,海棠二楼
201,兰州牛肉拉面,肉烂汤鲜、面质精细，味美可口，经济实惠,3,https://wizzcampus.helloyzy.cn/guide201.png,竹园三楼
202,新疆风味,具清真菜特性，又具有中国西北菜系味重香浓的烹饪特点,3,https://wizzcampus.helloyzy.cn/guide202.png,竹园三楼
203,盖浇饭,饭菜结合，食用方便，既有主食米饭，又有美味菜肴,3,https://wizzcampus.helloyzy.cn/guide203.png,竹园三楼
204,羊肉泡馍,烹制精细，料重味醇，肉烂汤浓，肥而不腻，营养丰富,3,https://wizzcampus.helloyzy.cn/guide204.png,竹园三楼
205,自选快餐,事先成批制作好的饭菜，即到即吃,3,https://wizzcampus.helloyzy.cn/guide205.png,竹园三楼
206,营养早餐,种类丰富，价格适中，营养健康,3,https://wizzcampus.helloyzy.cn/guide206.png,竹园三楼
301,老台门包子,包子种类多样，味道很好,1,https://wizzcampus.helloyzy.cn/guide301.png,丁香一楼
302,现磨五谷,豆饮种类繁多，营养丰富,1,https://wizzcampus.helloyzy.cn/guide302.png,丁香一楼
303,营养快餐,菜品繁多，任选一荤三菜八元,1,https://wizzcampus.helloyzy.cn/guide303.png,丁香一楼
304,五谷粥,窗口众多，满足不同人群的需求,1,https://wizzcampus.helloyzy.cn/guide304.png,丁香一楼
305,麦香馅饼,价格实惠，味道不错,1,https://wizzcampus.helloyzy.cn/guide305.png,丁香一楼
306,秦氏营养快餐,属特色胡辣汤与油条，价格适中,1,https://wizzcampus.helloyzy.cn/guide306.png,丁香一楼
307,川味小炒,菜品众多，味道不错，有丰富的选择余地,1,https://wizzcampus.helloyzy.cn/guide307.png,丁香一楼
308,山西花样饼,便宜又好吃，种类丰富,1,https://wizzcampus.helloyzy.cn/guide308.png,丁香一楼
309,麻辣香锅,菜品新鲜，价格适中，选择空间丰富,1,https://wizzcampus.helloyzy.cn/guide309.png,丁香一楼
310,特色风味川菜,菜品价格实惠，有地方特色，味道也很不错,1,https://wizzcampus.helloyzy.cn/guide310.png,丁香一楼
311,精选快餐,价格十分便宜，是吃土人士的良好选择,1,https://wizzcampus.helloyzy.cn/guide311.png,丁香一楼
312,高汤米线,主打米线，高汤精心熬制，口味独特,1,https://wizzcampus.helloyzy.cn/guide312.png,丁香一楼
313,川香砂锅,主营砂锅，可自己选择口味,1,https://wizzcampus.helloyzy.cn/guide313.png,丁香一楼
314,营养早餐,一律五元的价格是一大特色,1,https://wizzcampus.helloyzy.cn/guide314.png,丁香一楼
315,川椒大叔冒菜,鸡蛋灌饼，冒菜菜品全，价格适中,1,https://wizzcampus.helloyzy.cn/guide315.png,丁香一楼
316,黄焖鸡米饭,独具风味，口味独特,1,https://wizzcampus.helloyzy.cn/guide316.png,丁香一楼
317,湘黑鸭米饭,以各色肉食为主的快餐窗口，兼有素食,1,https://wizzcampus.helloyzy.cn/guide317.png,丁香一楼
318,坛子山珍烩,风味小吃，野香令人回味无穷,1,https://wizzcampus.helloyzy.cn/guide318.png,丁香一楼
319,锡纸饭,浓汤熬制，健康新鲜,1,https://wizzcampus.helloyzy.cn/guide319.png,丁香一楼
320,川香小炒,四川风味炒菜，顺应您的心意，满足您的胃口,1,https://wizzcampus.helloyzy.cn/guide320.png,丁香一楼
321,九阳原味豆浆,九阳原磨豆浆，原汁原味才更好,1,https://wizzcampus.helloyzy.cn/guide321.png,丁香一楼
322,西安正宗腊汁肉夹馍,西安本地特色腊汁肉夹馍，好吃不贵，不二之选,1,https://wizzcampus.helloyzy.cn/guide322.png,丁香一楼
323,重庆担担面,重庆特色担担面，风味独特，味道正宗,1,https://wizzcampus.helloyzy.cn/guide323.png,丁香一楼
324,凉面炒饭,凉面炒饭任你选，制作快捷，适应当今快节奏的生活,1,https://wizzcampus.helloyzy.cn/guide324.png,丁香一楼
325,碗装套餐,不同的菜系供您选择，不同的美味一起享用,1,https://wizzcampus.helloyzy.cn/guide325.png,丁香一楼
326,梁记正宗重庆酸辣粉,重庆酸辣粉，带你领略独到美味的酸辣粉,1,https://wizzcampus.helloyzy.cn/guide326.png,丁香一楼
327,桂林米粉,不论是米粉还是意面，都会让你感受到桂林美食的魅力,1,https://wizzcampus.helloyzy.cn/guide327.png,丁香一楼
328,炸鸡饭,各种风味炸鸡饭、煎饼、水饺任你选，总有一款适合你,1,https://wizzcampus.helloyzy.cn/guide328.png,丁香一楼
329,加州牛肉面,加州特色牛肉面，美味又实惠,1,https://wizzcampus.helloyzy.cn/guide329.png,丁香一楼
330,陕西裤带面凉皮,裤带面、凉皮，身在西安的你可不要错过,1,https://wizzcampus.helloyzy.cn/guide330.png,丁香一楼
331,秘制木桶饭,各种风味木桶饭任选，地域特色突出,1,https://wizzcampus.helloyzy.cn/guide331.png,丁香一楼
332,铁板特色炒米,铁板特色炒米饭，多重口味任你选,1,https://wizzcampus.helloyzy.cn/guide332.png,丁香一楼
333,广东肠粉豆丁酸菜鱼,爱吃鱼的你一定要来试试，肠粉也很不错哦,1,https://wizzcampus.helloyzy.cn/guide333.png,丁香一楼
334,西府香刀削面,包含多种特色面食，味美价廉,2,https://wizzcampus.helloyzy.cn/guide334.png,丁香二楼
335,瓦香鸡米饭,瓦香诱人，样式众多，风味独特的快餐,2,https://wizzcampus.helloyzy.cn/guide335.png,丁香二楼
336,美滋滋凉皮,极具西安特色的凉皮肉夹馍，味道正宗,2,https://wizzcampus.helloyzy.cn/guide336.png,丁香二楼
337,手工拉条子,多种面食，价格适中，美味可口,2,https://wizzcampus.helloyzy.cn/guide337.png,丁香二楼
338,精品川菜,精美可口的特色川菜，味道正宗价格不贵,2,https://wizzcampus.helloyzy.cn/guide338.png,丁香二楼
339,麻辣香锅,香辣可口的菜品，荤素自搭，全凭喜好,2,https://wizzcampus.helloyzy.cn/guide339.png,丁香二楼
340,金马鸡汤刀削面,营养可口的鸡汤面馆，美味营养又实惠,2,https://wizzcampus.helloyzy.cn/guide340.png,丁香二楼
